,E,S,ES,P
888,0.9999995798561818,3.0753302211898542e-06,4.2014381835728896e-07,9.99999650452596
889,0.9999995873632749,3.0203804654141094e-06,4.1263672526783335e-07,9.999996566982809
890,0.999999594736232,2.9664125471878346e-06,4.052637681627298e-07,9.999996628323684
891,0.9999996019774499,2.9134089231326274e-06,3.980225503172409e-07,9.999996688568526
892,0.9999996090892823,2.8613523633330783e-06,3.909107178308769e-07,9.999996747736919
893,0.9999996160740413,2.8102259457358656e-06,3.839259588622247e-07,9.999996805848095
894,0.9999996229339972,2.760013050648925e-06,3.7706600287744755e-07,9.999996862920947
895,0.9999996296713802,2.710697355338907e-06,3.7032861991221285e-07,9.999996918974025
896,0.9999996362883803,2.662262828725168e-06,3.637116198468072e-07,9.999996974025551
897,0.9999996427871485,2.614693726168562e-06,3.5721285169420356e-07,9.999997028093421
898,0.9999996491697972,2.567974584353353e-06,3.508302029008488e-07,9.999997081195213
899,0.9999996554384014,2.5220902162605677e-06,3.4456159865994416e-07,9.999997133348185
900,0.9999996615949989,2.477025706231171e-06,3.3840500123699627e-07,9.999997184569292
901,0.9999996676415908,2.4327664051174456e-06,3.3235840930741874e-07,9.999997234875185
902,0.9999996735801427,2.3892979255210084e-06,3.264198573059687e-07,9.999997284282216
903,0.9999996794125853,2.3466061371159125e-06,3.2058741478780796e-07,9.999997332806448
904,0.9999996851408143,2.304677162055315e-06,3.1485918580098036e-07,9.999997380463652
905,0.9999996907666918,2.2634973704602176e-06,3.092333082701012e-07,9.99999742726932
906,0.9999996962920467,2.223053375988812e-06,3.0370795339105864e-07,9.99999747323867
907,0.999999701718675,2.1833320314849943e-06,2.982813250365307e-07,9.999997518386643
908,0.9999997070483408,2.1443204247046267e-06,2.929516591721239e-07,9.999997562727915
909,0.9999997122827767,2.106005874118166e-06,2.8771722328294397e-07,9.999997606276901
910,0.9999997174236842,2.0683759247882856e-06,2.825763158104131e-07,9.999997649047758
911,0.9999997224727344,2.031418344321159e-06,2.7752726559914913e-07,9.99999769105439
912,0.9999997274315686,1.995121118890082e-06,2.7256843135372793e-07,9.99999773231045
913,0.9999997323017988,1.9594724493301454e-06,2.6769820110515245e-07,9.99999777282935
914,0.9999997370850082,1.9244607473026876e-06,2.6291499168685453e-07,9.999997812624262
915,0.9999997417827516,1.8900746315282793e-06,2.582172482200589e-07,9.999997851708121
916,0.9999997463965562,1.8563029240870167e-06,2.536034436083434e-07,9.999997890093633
917,0.9999997509279218,1.8231346467849203e-06,2.4907207804122924e-07,9.999997927793276
918,0.9999997553783213,1.7905590175852588e-06,2.446216785066418e-07,9.999997964819304
919,0.9999997597492015,1.7585654471036367e-06,2.4025079831208186e-07,9.999998001183755
920,0.9999997640419832,1.7271435351657065e-06,2.3595801661435316e-07,9.999998036898448
921,0.9999997682580619,1.6962830674263892e-06,2.317419379576919e-07,9.999998071974995
922,0.9999997723988081,1.6659740120494997e-06,2.2760119182014924e-07,9.999998106424796
923,0.9999997764655678,1.6362065164467009e-06,2.235344321680788e-07,9.99999814025905
924,0.999999780459663,1.6069709040747258e-06,2.195403370185844e-07,9.999998173488757
925,0.999999784382392,1.5782576712898266e-06,2.1561760800978572e-07,9.999998206124719
926,0.99999978823503,1.5500574842584265e-06,2.1176496997876267e-07,9.999998238177543
927,0.9999997920188294,1.522361175922973e-06,2.0798117054704055e-07,9.99999826965765
928,0.9999997957350202,1.495159743022004e-06,2.0426497971348186e-07,9.999998300575275
929,0.9999997993848104,1.4684443431634596e-06,2.0061518945445215e-07,9.999998330940464
930,0.9999998029693865,1.4422062919502856e-06,1.9703061333112994e-07,9.999998360763092
931,0.9999998064899137,1.4164370601573991e-06,1.9351008610383315e-07,9.99999839005285
932,0.9999998099475365,1.3911282709590935e-06,1.9005246335323661e-07,9.999998418819262
933,0.9999998133433787,1.3662716972059837e-06,1.866566211083577e-07,9.999998447071677
934,0.9999998166785443,1.3418592587506082e-06,1.8332145548118876e-07,9.99999847481928
935,0.9999998199541175,1.3178830198208152e-06,1.8004588230785803e-07,9.999998502071092
936,0.999999823171163,1.2943351864400813e-06,1.7682883679620217e-07,9.99999852883597
937,0.9999998263307266,1.271208103893923e-06,1.736692731796357e-07,9.999998555122616
938,0.9999998294338354,1.2484942542415796e-06,1.7056616437720538e-07,9.999998580939575
939,0.999999832481498,1.2261862538721545e-06,1.6751850165971812e-07,9.999998606295238
